,Dataset Name,Accuracy
0,GunPointOldVersusYoung,1.0
1,MoteStrain,0.9193290734824281
2,DistalPhalanxOutlineCorrect,0.7862318840579711
3,Phoneme,0.2668776371308017
4,DistalPhalanxTW,0.697841726618705
5,WormsTwoClass,0.7142857142857143
6,Computers,0.756
7,UWaveGestureLibraryX,0.8112786152987158
8,InsectEPGSmallTrain,1.0
9,GunPointMaleVersusFemale,1.0
10,ECG200,0.88
11,OSULeaf,0.6322314049586777
12,ArrowHead,0.6857142857142857
13,StarLightCurves,0.9734094220495386
14,SonyAIBORobotSurface1,0.8785357737104825
15,FaceFour,1.0
16,Car,0.8
17,GunPoint,0.9666666666666667
18,MiddlePhalanxTW,0.5714285714285714
19,TwoPatterns,0.998
20,ACSF1,0.83
21,SmoothSubspace,0.9933333333333333
22,CBF,0.9733333333333334
23,PigCVP,0.3269230769230769
24,BirdChicken,0.9
25,CricketY,0.7435897435897436
26,BeetleFly,0.95
27,CinCECGTorso,0.946376811594203
28,InlineSkate,0.42
29,Herring,0.609375
30,Wafer,0.9980532121998702
31,ECGFiveDays,0.983739837398374
32,OliveOil,0.9
33,LargeKitchenAppliances,0.6186666666666667
34,SonyAIBORobotSurface2,0.832109129066107
35,NonInvasiveFetalECGThorax2,0.9318066157760814
36,SyntheticControl,0.9933333333333333
37,EthanolLevel,0.476
38,Plane,0.9904761904761905
39,Ham,0.6952380952380952
40,FacesUCR,0.8990243902439025
41,DiatomSizeReduction,0.9411764705882353
42,FordA,0.9454545454545454
43,FreezerRegularTrain,0.9905263157894737
44,FordB,0.7950617283950617
45,Lightning7,0.7534246575342466
46,MixedShapesRegularTrain,0.9369072164948453
47,CricketZ,0.7461538461538462
48,InsectWingbeatSound,0.6717171717171717
49,UMD,0.9791666666666666
50,HouseTwenty,0.8991596638655462
51,Meat,0.9333333333333333
52,PowerCons,1.0
53,SmallKitchenAppliances,0.8213333333333334
54,ChlorineConcentration,0.74296875
55,PigArtPressure,0.4230769230769231
56,TwoLeadECG,0.8507462686567164
57,RefrigerationDevices,0.5626666666666666
58,EOGHorizontalSignal,0.5220994475138122
59,Haptics,0.4772727272727273
60,CricketX,0.7102564102564103
61,ToeSegmentation1,0.793859649122807
62,MedicalImages,0.8092105263157895
63,ProximalPhalanxOutlineAgeGroup,0.8585365853658536
64,Mallat,0.9582089552238806
65,Wine,0.7407407407407407
66,ItalyPowerDemand,0.966958211856171
67,Rock,0.8
68,Fish,0.8514285714285714
69,SemgHandMovementCh2,0.8533333333333334
70,UWaveGestureLibraryZ,0.7571189279731994
71,GunPointAgeSpan,0.990506329113924
72,Worms,0.6493506493506493
73,EOGVerticalSignal,0.511049723756906
74,Strawberry,0.9702702702702702
75,ShapeletSim,0.9444444444444444
76,HandOutlines,0.9081081081081082
77,MiddlePhalanxOutlineAgeGroup,0.551948051948052
78,Beef,0.7
79,BME,1.0
80,Symbols,0.9457286432160804
81,FiftyWords,0.7648351648351648
82,PhalangesOutlinesCorrect,0.8391608391608392
83,ProximalPhalanxTW,0.8195121951219512
84,SwedishLeaf,0.9376
85,FaceAll,0.7994082840236686
86,MiddlePhalanxOutlineCorrect,0.8350515463917526
87,WordSynonyms,0.664576802507837
88,SemgHandSubjectCh2,0.92
89,UWaveGestureLibraryAll,0.9592406476828588
90,ElectricDevices,0.7338866554273117
91,ProximalPhalanxOutlineCorrect,0.8797250859106529
92,ECG5000,0.9393333333333334
93,NonInvasiveFetalECGThorax1,0.9134860050890585
94,Coffee,1.0
95,PigAirwayPressure,0.23557692307692307
96,Lightning2,0.8032786885245902
97,SemgHandGenderCh2,0.9683333333333334
98,UWaveGestureLibraryY,0.7280848687883864
99,Earthquakes,0.7482014388489209
100,ShapesAll,0.8483333333333334
101,MixedShapesSmallTrain,0.8738144329896907
102,Crop,0.7728571428571429
103,Trace,0.98
104,Chinatown,0.9795918367346939
105,Yoga,0.848
106,FreezerSmallTrain,0.88
107,ScreenType,0.4693333333333333
108,DistalPhalanxOutlineAgeGroup,0.762589928057554
109,ToeSegmentation2,0.9
110,InsectEPGRegularTrain,1.0
111,Adiac,0.7493606138107417
