,Dataset Name,Accuracy
0,LargeKitchenAppliances,0.6186666666666667
1,ScreenType,0.48533333333333334
2,Plane,1.0
3,OliveOil,0.9333333333333333
4,SemgHandSubjectCh2,0.9222222222222223
5,FaceAll,0.7940828402366864
6,ECGFiveDays,0.967479674796748
7,SonyAIBORobotSurface2,0.8310598111227702
8,Wine,0.7592592592592593
9,Herring,0.59375
10,FaceFour,0.9886363636363636
11,Symbols,0.9386934673366835
12,MiddlePhalanxTW,0.5584415584415584
13,SmallKitchenAppliances,0.816
14,ShapeletSim,0.9333333333333333
15,ElectricDevices,0.7346647646219686
16,MiddlePhalanxOutlineCorrect,0.8178694158075601
17,UWaveGestureLibraryY,0.7294807370184254
18,Strawberry,0.9702702702702702
19,SonyAIBORobotSurface1,0.8585690515806988
20,GunPoint,0.9533333333333334
21,MixedShapesRegularTrain,0.9331958762886597
22,ECG200,0.87
23,ArrowHead,0.6971428571428572
24,Trace,0.98
25,Ham,0.6952380952380952
26,FiftyWords,0.778021978021978
27,UWaveGestureLibraryX,0.8104410943606923
28,PigArtPressure,0.44711538461538464
29,Phoneme,0.28322784810126583
30,Earthquakes,0.7482014388489209
31,SemgHandMovementCh2,0.86
32,GunPointAgeSpan,0.990506329113924
33,HouseTwenty,0.9243697478991597
34,InlineSkate,0.42363636363636364
35,Crop,0.7719047619047619
36,Fish,0.8628571428571429
37,SyntheticControl,0.9933333333333333
38,Haptics,0.474025974025974
39,WordSynonyms,0.6536050156739812
40,FordB,0.7814814814814814
41,Computers,0.74
42,MoteStrain,0.9129392971246006
43,Beef,0.7333333333333333
44,Wafer,0.9974042829331603
45,CinCECGTorso,0.9485507246376812
46,HandOutlines,0.9135135135135135
47,FordA,0.9371212121212121
48,InsectWingbeatSound,0.6666666666666666
49,ProximalPhalanxTW,0.8146341463414634
50,CBF,0.9755555555555555
51,NonInvasiveFetalECGThorax2,0.9323155216284987
52,Worms,0.6493506493506493
53,CricketY,0.7461538461538462
54,EOGVerticalSignal,0.511049723756906
55,CricketZ,0.764102564102564
56,EOGHorizontalSignal,0.5441988950276243
57,ShapesAll,0.8466666666666667
58,ItalyPowerDemand,0.9708454810495627
59,FreezerRegularTrain,0.9905263157894737
60,ECG5000,0.9413333333333334
61,OSULeaf,0.6528925619834711
62,SwedishLeaf,0.9392
63,Lightning2,0.7868852459016393
64,DiatomSizeReduction,0.954248366013072
65,Mallat,0.9603411513859275
66,SemgHandGenderCh2,0.9716666666666667
67,StarLightCurves,0.9740165128703254
68,BME,1.0
69,ACSF1,0.81
70,FacesUCR,0.8975609756097561
71,PowerCons,1.0
72,FreezerSmallTrain,0.867719298245614
73,ProximalPhalanxOutlineAgeGroup,0.8634146341463415
74,Chinatown,0.9766763848396501
75,Adiac,0.7595907928388747
76,ProximalPhalanxOutlineCorrect,0.8797250859106529
77,BeetleFly,0.95
78,ToeSegmentation1,0.7719298245614035
79,InsectEPGSmallTrain,1.0
80,SmoothSubspace,0.9933333333333333
81,InsectEPGRegularTrain,1.0
82,TwoLeadECG,0.8472344161545216
83,NonInvasiveFetalECGThorax1,0.910941475826972
84,Car,0.7833333333333333
85,DistalPhalanxOutlineCorrect,0.7789855072463768
86,Coffee,1.0
87,PigAirwayPressure,0.23076923076923078
88,GunPointMaleVersusFemale,1.0
89,ToeSegmentation2,0.8846153846153846
90,CricketX,0.7051282051282052
91,MiddlePhalanxOutlineAgeGroup,0.5714285714285714
92,EthanolLevel,0.482
93,MixedShapesSmallTrain,0.8758762886597938
94,UWaveGestureLibraryZ,0.7582356225572306
95,RefrigerationDevices,0.5493333333333333
96,PigCVP,0.34615384615384615
97,DistalPhalanxTW,0.7050359712230215
98,WormsTwoClass,0.7272727272727273
99,Meat,0.9333333333333333
100,GunPointOldVersusYoung,1.0
101,Yoga,0.849
102,UWaveGestureLibraryAll,0.9584031267448353
103,Lightning7,0.7397260273972602
104,ChlorineConcentration,0.7403645833333333
105,BirdChicken,0.9
106,UMD,0.9930555555555556
107,PhalangesOutlinesCorrect,0.8286713286713286
108,Rock,0.78
109,TwoPatterns,0.998
110,MedicalImages,0.8026315789473685
111,DistalPhalanxOutlineAgeGroup,0.762589928057554
