Dataset Name                 ;Accuracy
ACSF1;0.81
Adiac                        ;0.8005115089514067
ArrowHead;0.6742857142857143
Beef                         ;0.8666666666666667
BeetleFly                    ;0.9
BirdChicken;0.95
BME                          ;1.0
Car;0.8333333333333334
CBF                          ;0.9877777777777778
Chinatown                    ;0.9795918367346939
ChlorineConcentration        ;0.76640625
CinCECGTorso;0.9934782608695653
Coffee                       ;1.0
Computers                    ;0.736
CricketX;0.6743589743589744
CricketY;0.6897435897435897
CricketZ;0.6974358974358974
Crop;0.7575595238095238
DiatomSizeReduction;0.9640522875816994
DistalPhalanxOutlineAgeGroup;0.7482014388489209
DistalPhalanxOutlineCorrect  ;0.7934782608695652
DistalPhalanxTW;0.6690647482014388
Earthquakes                  ;0.7482014388489209
ECG200                       ;0.9
ECG5000                      ;0.9437777777777778
ECGFiveDays                  ;1.0
ElectricDevices;0.697834262741538
EOGHorizontalSignal          ;0.56353591160221
EOGVerticalSignal;0.5359116022099447
EthanolLevel                 ;0.65
FaceAll;0.8349112426035503
FaceFour                     ;1.0
FacesUCR                     ;0.8195121951219512
FiftyWords;0.7274725274725274
Fish;0.9085714285714286
FordA;0.9696969696969697
FordB;0.8320987654320988
FreezerRegularTrain;0.9975438596491228
FreezerSmallTrain;0.996140350877193
GunPoint                     ;0.9466666666666667
GunPointAgeSpan;0.9778481012658228
GunPointMaleVersusFemale     ;0.9936708860759493
GunPointOldVersusYoung;0.9904761904761905
Ham;0.7142857142857143
HandOutlines                 ;0.918918918918919
Haptics;0.5357142857142857
Herring;0.625
HouseTwenty;0.9411764705882353
InlineSkate;0.5872727272727273
InlineSkate;0.6
InsectEPGRegularTrain;1.0
InsectEPGSmallTrain;1.0
InsectWingbeatSound;0.6636363636363637
ItalyPowerDemand;0.9698736637512148
LargeKitchenAppliances       ;0.84
Lightning2                   ;0.7868852459016393
Lightning7                   ;0.7123287671232876
Mallat;0.9556503198294243
Meat;0.9666666666666667
MedicalImages                ;0.8171052631578948
MiddlePhalanxOutlineAgeGroup ;0.577922077922078
MiddlePhalanxOutlineCorrect;0.845360824742268
MiddlePhalanxTW;0.512987012987013
MixedShapesRegularTrain;0.9393814432989691
MixedShapesSmallTrain;0.8890721649484536
MoteStrain                   ;0.8785942492012779
NonInvasiveFetalECGThorax1   ;0.9272264631043257
NonInvasiveFetalECGThorax2   ;0.9358778625954198
OliveOil                     ;0.9333333333333333
OSULeaf;0.7768595041322314
PhalangesOutlinesCorrect     ;0.8461538461538461
Phoneme;0.2568565400843882
PigAirwayPressure            ;0.34134615384615385
PigArtPressure               ;0.8894230769230769
PigCVP;0.6971153846153846
Plane;1.0
PowerCons                    ;1.0
ProximalPhalanxOutlineAgeGroup;0.8536585365853658
ProximalPhalanxOutlineCorrect;0.8934707903780069
ProximalPhalanxTW;0.8097560975609757
RefrigerationDevices;0.5653333333333334
Rock;0.84
ScreenType;0.5253333333333333
SemgHandGenderCh2;0.9733333333333334
SemgHandMovementCh2          ;0.8266666666666667
SemgHandSubjectCh2;0.9444444444444444
ShapeletSim                  ;0.9777777777777777
ShapesAll                    ;0.8716666666666667
SmallKitchenAppliances;0.824
SmoothSubspace;0.9733333333333334
SonyAIBORobotSurface1        ;0.8985024958402662
SonyAIBORobotSurface2        ;0.8845750262329486
StarLightCurves;0.9793589120932491
Strawberry;0.9675675675675676
SwedishLeaf;0.9456
Symbols                      ;0.9758793969849247
SyntheticControl             ;0.9866666666666667
ToeSegmentation1;0.8903508771929824
ToeSegmentation2;0.8538461538461538
Trace                        ;1.0
TwoLeadECG;0.9789288849868305
TwoPatterns;0.99725
UMD;0.9791666666666666
UWaveGestureLibraryAll;0.9544946957007259
UWaveGestureLibraryX;0.7959240647682859
UWaveGestureLibraryY;0.7414852037967616
UWaveGestureLibraryZ;0.7610273590173088
Wafer;0.9972420506164829
Wine;0.6481481481481481
WordSynonyms;0.5768025078369906
Worms;0.8181818181818182
WormsTwoClass;0.8441558441558441
Yoga;0.8553333333333333
