Dataset Name                   ;Accuracy
ACSF1                          ;0.82
Adiac                          ;0.7647058823529411
ArrowHead                      ;0.6971428571428572
Beef                           ;0.8
BeetleFly                      ;0.95
BirdChicken                    ;0.85
BME                            ;1.0
Car                            ;0.7666666666666667
CBF                            ;0.9755555555555555
Chinatown                      ;0.9766763848396501
ChlorineConcentration          ;0.7427083333333333
CinCECGTorso                   ;0.9485507246376812
Coffee                         ;1.0
Computers                      ;0.748
CricketX                       ;0.7025641025641025
CricketY                       ;0.7384615384615385
CricketZ                       ;0.7256410256410256
Crop                           ;0.7724404761904762
Dataset Name                   ;Accuracy
DiatomSizeReduction            ;0.9477124183006536
DistalPhalanxOutlineAgeGroup   ;0.762589928057554
DistalPhalanxOutlineCorrect    ;0.7789855072463768
DistalPhalanxTW                ;0.697841726618705
Earthquakes                    ;0.7482014388489209
ECG200                         ;0.86
ECG5000                        ;0.9415555555555556
ECGFiveDays                    ;0.9779326364692218
ElectricDevices                ;0.7316820127091168
EOGHorizontalSignal            ;0.5303867403314917
EOGVerticalSignal              ;0.5193370165745856
EthanolLevel                   ;0.49
FaceAll                        ;0.7964497041420119
FaceFour                       ;1.0
FacesUCR                       ;0.8985365853658537
FiftyWords                     ;0.7538461538461538
Fish                           ;0.8685714285714285
FordA                          ;0.9477272727272728
FordB                          ;0.7913580246913581
FreezerRegularTrain            ;0.9901754385964913
FreezerSmallTrain              ;0.8856140350877193
GunPoint                       ;0.9666666666666667
GunPointAgeSpan                ;0.990506329113924
GunPointMaleVersusFemale       ;1.0
GunPointOldVersusYoung         ;1.0
Ham                            ;0.6952380952380952
HandOutlines                   ;0.9108108108108108
Haptics                        ;0.4805194805194805
Herring                        ;0.59375
HouseTwenty                    ;0.9243697478991597
InlineSkate                    ;0.4109090909090909
InsectEPGRegularTrain          ;1.0
InsectEPGSmallTrain            ;1.0
InsectWingbeatSound            ;0.6671717171717172
ItalyPowerDemand               ;0.9689018464528668
LargeKitchenAppliances         ;0.616
Lightning2                     ;0.7868852459016393
Lightning7                     ;0.7534246575342466
Mallat                         ;0.95863539445629
Meat                           ;0.9333333333333333
MedicalImages                  ;0.8
MiddlePhalanxOutlineAgeGroup   ;0.577922077922078
MiddlePhalanxOutlineCorrect    ;0.8316151202749141
MiddlePhalanxTW                ;0.5714285714285714
MixedShapesRegularTrain        ;0.9327835051546391
MixedShapesSmallTrain          ;0.8775257731958763
MoteStrain                     ;0.9137380191693291
NonInvasiveFetalECGThorax1     ;0.9124681933842239
NonInvasiveFetalECGThorax2     ;0.9323155216284987
OliveOil                       ;0.9333333333333333
OSULeaf                        ;0.6446280991735537
PhalangesOutlinesCorrect       ;0.8298368298368298
Phoneme                        ;0.27531645569620256
PigAirwayPressure              ;0.2403846153846154
PigArtPressure                 ;0.41346153846153844
PigCVP                         ;0.3605769230769231
Plane                          ;0.9904761904761905
PowerCons                      ;1.0
ProximalPhalanxOutlineAgeGroup ;0.8585365853658536
ProximalPhalanxOutlineCorrect  ;0.8797250859106529
ProximalPhalanxTW              ;0.8146341463414634
RefrigerationDevices           ;0.5573333333333333
Rock                           ;0.8
ScreenType                     ;0.496
SemgHandGenderCh2              ;0.9766666666666667
SemgHandMovementCh2            ;0.8644444444444445
SemgHandSubjectCh2             ;0.9311111111111111
ShapeletSim                    ;0.95
ShapesAll                      ;0.8433333333333334
SmallKitchenAppliances         ;0.816
SmoothSubspace                 ;0.9866666666666667
SonyAIBORobotSurface1          ;0.8685524126455907
SonyAIBORobotSurface2          ;0.8300104931794333
StarLightCurves                ;0.9720738222438077
Strawberry                     ;0.972972972972973
SwedishLeaf                    ;0.944
Symbols                        ;0.9437185929648241
SyntheticControl               ;0.99
ToeSegmentation1               ;0.7982456140350878
ToeSegmentation2               ;0.8769230769230769
Trace                          ;0.99
TwoLeadECG                     ;0.8481123792800702
TwoPatterns                    ;0.99775
UMD                            ;0.9930555555555556
UWaveGestureLibraryAll         ;0.9609156895589056
UWaveGestureLibraryX           ;0.8115577889447236
UWaveGestureLibraryY           ;0.7272473478503629
UWaveGestureLibraryZ           ;0.7537688442211056
Wafer                          ;0.9975665152498377
Wine                           ;0.7222222222222222
WordSynonyms                   ;0.658307210031348
Worms                          ;0.6363636363636364
WormsTwoClass                  ;0.7142857142857143
Yoga                           ;0.8476666666666667
