Dataset;MS_1NN;MS_5NN;MS_SVM;MS_NB;MS_RF;MS_ExRF
Adiac;0.6163682864450127;0.728;0.7800511508951407;0.6240409207161125;0.731457800511509;0.8132992327365729
Beef;0.6666666666666666;0.6;0.8;0.6;0.7666666666666667;0.8666666666666667
Car;0.7333333333333333;0.683;0.8333333333333334;0.6;0.6833333333333333;0.8166666666666667
CBF;0.8822222222222222;0.94;0.87;0.8911111111111111;0.9388888888888889;0.9944444444444445
Coffee;1.0;0.964;1.0;0.8928571428571429;1.0;1.0
DiatomSizeReduction;0.934640522875817;0.882;0.9771241830065359;0.869281045751634;0.9281045751633987;0.9607843137254902
ECG200;0.87;0.93;0.82;0.78;0.82;0.9
ECGFiveDays;0.8536585365853658;0.879;0.9953542392566783;0.8164924506387921;0.975609756097561;1.0
FaceFour;0.7954545454545454;0.75;0.8409090909090909;0.8295454545454546;0.875;0.8295454545454546
GunPoint;0.9133333333333333;0.993;0.9133333333333333;0.8066666666666666;0.96;0.9466666666666667
Lightning2;0.819672131147541;0.786;0.6721311475409836;0.7049180327868853;0.7377049180327869;0.8360655737704918
Lightning7;0.6027397260273972;0.712;0.7123287671232876;0.7123287671232876;0.7534246575342466;0.821917808219178
MedicalImages;0.6986842105263158;0.689;0.6447368421052632;0.6039473684210527;0.7578947368421053;0.7342105263157894
MotesStrain;0.8490415335463258;0.869;0.8642172523961661;0.8354632587859425;0.8793929712460063;0.8857827476038339
OliveOil;0.8666666666666667;0.9;0.8333333333333334;0.9;0.9333333333333333;0.9
SonyAIBORobotSurface1;0.7104825291181365;0.812;0.7304492512479202;0.9251247920133111;0.8186356073211315;0.7970049916805324
SonyAIBORobotSurface2;0.8730325288562435;0.815;0.8730325288562435;0.7922350472193075;0.825813221406086;0.881427072402938
SyntheticControl;0.9633333333333334;1.0;0.97;0.9833333333333333;0.9866666666666667;0.9833333333333333
Trace;0.79;0.81;0.97;0.87;0.93;0.98
TwoPatterns;0.9315;0.989;0.919;0.47825;0.9005;0.9445
