Dataset                        ;Catch22Classifier  ;FreshPRINCEClassifier ;TSFreshClassifier  ;Model_Dicionário;Model_Amazonico;model_padrao
ACSF1                          ;0.85               ;   0.89               ;0.87               ;0.83;0.84;0.73
Adiac                          ;0.7161125319693095 ;   0.8414322250639387 ;0.8107416879795396 ;0.8132992327365729;0.7621483375959079;0.7135549872122762
ArrowHead                      ;0.7257142857142858 ;   0.6285714285714286 ;0.6914285714285714 ;0.7428571428571429;0.7085714285714285;0.7542857142857143
BME                            ;0.9133333333333332 ;   1.0                ;1.0                ;0.96;0.7333333333333333;0.9933333333333333
Beef                           ;0.6                ;   0.8                ;0.8                ;0.8666666666666667;0.95;0.7666666666666667
BeetleFly                      ;0.75               ;   0.9                ;0.5                ;0.95;0.9;0.9
BirdChicken                    ;0.9                ;   1.0                ;0.9                ;0.75;1.0;0.7
CBF                            ;0.9666666666666668 ;   0.9944444444444444 ;0.9955555555555556 ;0.9944444444444445;0.9755555555555555;0.9755555555555555
Car                            ;0.7666666666666667 ;   0.7666666666666667 ;0.8333333333333334 ;0.8166666666666667;0.8;0.7333333333333333
Chinatown                      ;0.9154518950437318 ;   0.9825072886297376 ;0.97667638483965   ;0.9825072886297376;0.9795918367346939;0.9854227405247813
ChlorineConcentration          ;0.6013020833333333 ;   0.7747395833333334 ;0.459375           ;0.7403645833333333;0.74140625;0.7606770833333333
CinCECGTorso                   ;0.8173913043478261 ;   0.9666666666666668 ;0.9847826086956522 ;0.8442028985507246;0.95;0.8434782608695652
Coffee                         ;1.0                ;   1.0                ;1.0                ;1.0;1.0;1.0
Computers                      ;0.716              ;   0.768              ;0.76               ;0.612;0.764;0.628
CricketX                       ;0.5820512820512821 ;   0.7102564102564103 ;0.6974358974358974 ;0.6743589743589744;0.7051282051282052;0.6358974358974359
CricketY                       ;0.5153846153846153 ;   0.6897435897435897 ;0.6871794871794872 ;0.6871794871794872;0.7410256410256411;0.6384615384615384
CricketZ                       ;0.6435897435897436 ;   0.7538461538461538 ;0.7307692307692307 ;0.7025641025641025;0.7384615384615385;0.658974358974359
Crop                           ;0.6916071428571429 ;   0.7704166666666666 ;0.7566071428571428 ;0.7548809523809524;0.772797619047619;0.7548809523809524
DiatomSizeReduction            ;0.9444444444444444 ;   0.8529411764705882 ;0.3006535947712418 ;0.9607843137254902;0.9575163398692811;0.934640522875817
DistalPhalanxOutlineAgeGroup   ;0.7050359712230215 ;   0.7553956834532374 ;0.7338129496402878 ;0.762589928057554;0.7553956834532374;0.7482014388489209
DistalPhalanxOutlineCorrect    ;0.7971014492753623 ;   0.7898550724637681 ;0.7644927536231884 ;0.7862318840579711;0.7753623188405797;0.7862318840579711
DistalPhalanxTW                ;0.6618705035971223 ;   0.6906474820143885 ;0.6402877697841727 ;0.6762589928057554;0.6906474820143885;0.697841726618705
ECG200                         ;0.84               ;   0.88               ;0.85               ;0.9;0.7482014388489209;0.87
ECG5000                        ;0.9393333333333334 ;   0.9442222222222222 ;0.942              ;0.9404444444444444;0.86;0.9393333333333334
