    ,Dataset                        ,Catch22Classifier  ,FreshPRINCEClassifier ,TSFreshClassifier
 62 ,ACSF1                          ,0.85               ,   0.89               ,0.87
 32 ,Adiac                          ,0.7161125319693095 ,   0.8414322250639387 ,0.8107416879795396
 91 ,ArrowHead                      ,0.7257142857142858 ,   0.6285714285714286 ,0.6914285714285714
 95 ,BME                            ,0.9133333333333332 ,   1.0                ,1.0
102 ,Beef                           ,0.6                ,   0.8                ,0.8
 57 ,BeetleFly                      ,0.75               ,   0.9                ,0.5
 70 ,BirdChicken                    ,0.9                ,   1.0                ,0.9
 23 ,CBF                            ,0.9666666666666668 ,   0.9944444444444444 ,0.9955555555555556
 40 ,Car                            ,0.7666666666666667 ,   0.7666666666666667 ,0.8333333333333334
 69 ,Chinatown                      ,0.9154518950437318 ,   0.9825072886297376 ,0.97667638483965
 43 ,ChlorineConcentration          ,0.6013020833333333 ,   0.7747395833333334 ,0.459375
 25 ,CinCECGTorso                   ,0.8173913043478261 ,   0.9666666666666668 ,0.9847826086956522
  2 ,Coffee                         ,1.0                ,   1.0                ,1.0
 36 ,Computers                      ,0.716              ,   0.768              ,0.76
101 ,CricketX                       ,0.5820512820512821 ,   0.7102564102564103 ,0.6974358974358974
 76 ,CricketY                       ,0.5153846153846153 ,   0.6897435897435897 ,0.6871794871794872
 63 ,CricketZ                       ,0.6435897435897436 ,   0.7538461538461538 ,0.7307692307692307
 31 ,Crop                           ,0.6916071428571429 ,   0.7704166666666666 ,0.7566071428571428
 82 ,DiatomSizeReduction            ,0.9444444444444444 ,   0.8529411764705882 ,0.3006535947712418
 65 ,DistalPhalanxOutlineAgeGroup   ,0.7050359712230215 ,   0.7553956834532374 ,0.7338129496402878
 37 ,DistalPhalanxOutlineCorrect    ,0.7971014492753623 ,   0.7898550724637681 ,0.7644927536231884
111 ,DistalPhalanxTW                ,0.6618705035971223 ,   0.6906474820143885 ,0.6402877697841727
104 ,ECG200                         ,0.84               ,   0.88               ,0.85
 85 ,ECG5000                        ,0.9393333333333334 ,   0.9442222222222222 ,0.942
108 ,ECGFiveDays                    ,0.7723577235772358 ,   1.0                ,0.4970963995354239
 34 ,EOGHorizontalSignal            ,0.5524861878453039 ,   0.5911602209944752 ,0.5662983425414365
 89 ,EOGVerticalSignal              ,0.505524861878453  ,   0.4779005524861878 ,0.4917127071823204
 60 ,Earthquakes                    ,0.7410071942446043 ,   0.7697841726618705 ,0.7553956834532374
  7 ,ElectricDevices                ,0.7274024121385034 ,   0.7691609389184282 ,0.7663078718713526
 55 ,EthanolLevel                   ,0.35               ,   0.41               ,0.382
  3 ,FaceAll                        ,0.763905325443787  ,   0.7816568047337278 ,0.878698224852071
 84 ,FaceFour                       ,0.6363636363636364 ,   0.9659090909090908 ,0.5795454545454546
 13 ,FacesUCR                       ,0.7073170731707317 ,   0.8975609756097561 ,0.871219512195122
 26 ,FiftyWords                     ,0.5956043956043956 ,   0.7384615384615385 ,0.6857142857142857
 20 ,Fish                           ,0.7942857142857143 ,   0.9142857142857144 ,0.92
 56 ,FordA                          ,0.9159090909090908 ,   1.0                ,1.0
 18 ,FordB                          ,0.7333333333333333 ,   0.7950617283950617 ,0.8308641975308642
 49 ,FreezerRegularTrain            ,0.99859649122807   ,   0.9894736842105264 ,0.983157894736842
 58 ,FreezerSmallTrain              ,0.9585964912280702 ,   0.983859649122807  ,0.923157894736842
 21 ,GunPoint                       ,0.9666666666666668 ,   0.94               ,0.9533333333333334
