Dataset Name,Accuracy
EOGVerticalSignal,0.4005524861878453
LargeKitchenAppliances,0.496
ItalyPowerDemand,0.9708454810495627
ShapeletSim,0.49444444444444446
ECGFiveDays,0.9860627177700348
Coffee,1.0
NonInvasiveFetalECGThorax1,0.9475826972010178
CricketX,0.6410256410256411
TwoPatterns,0.972
FordA,0.8348484848484848
Plane,0.9714285714285714
Trace,0.86
PhalangesOutlinesCorrect,0.6678321678321678
EthanolLevel,0.78
GunPointAgeSpan,0.8765822784810127
InlineSkate,0.25272727272727274
EOGHorizontalSignal,0.4116022099447514
ElectricDevices,0.6178187005576449
FiftyWords,0.6747252747252748
Lightning7,0.6164383561643836
SemgHandGenderCh2,0.9283333333333333
MixedShapesSmallTrain,0.8540206185567011
Wine,0.6296296296296297
MixedShapesRegularTrain,0.9142268041237114
MiddlePhalanxOutlineAgeGroup,0.564935064935065
Symbols,0.7618090452261307
PowerCons,0.9888888888888889
UMD,0.8819444444444444
RefrigerationDevices,0.464
DistalPhalanxOutlineCorrect,0.6811594202898551
FacesUCR,0.8195121951219512
SonyAIBORobotSurface1,0.8069883527454242
BME,0.9333333333333333
FaceFour,0.8636363636363636
MiddlePhalanxTW,0.5714285714285714
PigCVP,0.15384615384615385
SyntheticControl,0.9733333333333334
CBF,0.9122222222222223
ChlorineConcentration,0.8908854166666667
SmoothSubspace,0.8666666666666667
DistalPhalanxOutlineAgeGroup,0.7122302158273381
UWaveGestureLibraryX,0.7822445561139029
ACSF1,0.67
ProximalPhalanxOutlineAgeGroup,0.8390243902439024
ProximalPhalanxOutlineCorrect,0.8247422680412371
ToeSegmentation1,0.618421052631579
UWaveGestureLibraryZ,0.7135678391959799
Crop,0.7543452380952381
DiatomSizeReduction,0.9607843137254902
FordB,0.6901234567901234
Earthquakes,0.7482014388489209
SemgHandMovementCh2,0.6644444444444444
CricketZ,0.5897435897435898
HandOutlines,0.9162162162162162
WormsTwoClass,0.6103896103896104
Car,0.8
Worms,0.5714285714285714
Phoneme,0.11234177215189874
ShapesAll,0.7883333333333333
Yoga,0.8386666666666667
FreezerSmallTrain,0.7007017543859649
Beef,0.8333333333333334
Lightning2,0.7213114754098361
SonyAIBORobotSurface2,0.8100734522560336
SmallKitchenAppliances,0.43733333333333335
GunPointOldVersusYoung,1.0
CricketY,0.6256410256410256
Herring,0.59375
PigAirwayPressure,0.038461538461538464
GunPointMaleVersusFemale,0.9936708860759493
ECG5000,0.9393333333333334
MiddlePhalanxOutlineCorrect,0.6013745704467354
SemgHandSubjectCh2,0.8444444444444444
Meat,0.9666666666666667
ProximalPhalanxTW,0.8
Rock,0.82
BirdChicken,0.6
Chinatown,0.9620991253644315
ToeSegmentation2,0.7769230769230769
TwoLeadECG,0.9385425812115891
Adiac,0.7340153452685422
FreezerRegularTrain,0.9859649122807017
Ham,0.6571428571428571
Strawberry,0.972972972972973
UWaveGestureLibraryAll,0.9595198213288666
ArrowHead,0.8228571428571428
Haptics,0.461038961038961
FaceAll,0.8597633136094674
Fish,0.8685714285714285
CinCECGTorso,0.7347826086956522
InsectEPGSmallTrain,1.0
Wafer,0.9957819597663855
DistalPhalanxTW,0.6402877697841727
Mallat,0.9552238805970149
NonInvasiveFetalECGThorax2,0.9506361323155216
InsectWingbeatSound,0.6363636363636364
OSULeaf,0.5619834710743802
ECG200,0.89
HouseTwenty,0.7563025210084033
StarLightCurves,0.9477901894123361
GunPoint,0.9133333333333333
WordSynonyms,0.6018808777429467
InsectEPGRegularTrain,1.0
ScreenType,0.368
BeetleFly,0.75
Computers,0.544
OliveOil,0.8333333333333334
PigArtPressure,0.18269230769230768
SwedishLeaf,0.9184
MoteStrain,0.5391373801916933
UWaveGestureLibraryY,0.6895589056393077
MedicalImages,0.7539473684210526
