Dataset;model_padrao;,Accuracy
ACSF1                          ;0.73;
Adiac                          ;0.7135549872122762;
ArrowHead                      ;0.7542857142857143;
BME                            ;0.9933333333333333;
Beef                           ;0.7666666666666667;
BeetleFly                      ;0.9;
BirdChicken                    ;0.7;
CBF                            ;0.9755555555555555;
Car                            ;0.7333333333333333;
Chinatown                      ;0.9854227405247813;
ChlorineConcentration          ;0.7606770833333333;
CinCECGTorso                   ;0.8434782608695652;
Coffee                         ;1.0;
Computers                      ;0.628;
CricketX                       ;0.6358974358974359;
CricketY                       ;0.6384615384615384;
CricketZ                       ;0.658974358974359;
Crop                           ;0.7548809523809524;
DiatomSizeReduction            ;0.934640522875817;
DistalPhalanxOutlineAgeGroup   ;0.7482014388489209;
DistalPhalanxOutlineCorrect    ;0.7862318840579711;
DistalPhalanxTW                ;0.697841726618705;
ECG200                         ;0.87;
ECG5000                        ;0.9393333333333334;
ECGFiveDays                    ;0.9872241579558653;
EOGHorizontalSignal            ;0.4723756906077348;
EOGVerticalSignal              ;0.425414364640884;
Earthquakes                    ;0.7482014388489209;
ElectricDevices                ;0.6717676047205291;
EthanolLevel                   ;0.51;
FaceAll                        ;0.8810650887573964;
FaceFour                       ;0.9204545454545454;
FacesUCR                       ;0.8136585365853658;
FiftyWords                     ;0.7164835164835165;
Fish                           ;0.7885714285714286;
FordA                          ;0.8878787878787879;
FordB                          ;0.7209876543209877;
FreezerRegularTrain            ;0.9452631578947368;
FreezerSmallTrain              ;0.7378947368421053;
GunPoint                       ;0.9733333333333334;
GunPointAgeSpan                ;0.939873417721519;
GunPointMaleVersusFemale       ;0.9873417721518988;
GunPointOldVersusYoung         ;0.9809523809523809;
Ham                            ;0.7142857142857143;
HandOutlines                   ;0.9054054054054054;
Haptics                        ;0.4772727272727273;
Herring                        ;0.65625;
HouseTwenty                    ;0.865546218487395;
InlineSkate                    ;0.4072727272727273;
InsectEPGRegularTrain          ;1.0;
InsectEPGSmallTrain            ;1.0;
InsectWingbeatSound            ;0.645959595959596;
ItalyPowerDemand               ;0.9611273080660836;
LargeKitchenAppliances         ;0.656;
Lightning2                     ;0.8032786885245902;
Lightning7                     ;0.6164383561643836;
Mallat                         ;0.9603411513859275;
Meat                           ;0.9333333333333333;
MedicalImages                  ;0.756578947368421;
MiddlePhalanxOutlineAgeGroup   ;0.5584415584415584;
MiddlePhalanxOutlineCorrect    ;0.8041237113402062;
MiddlePhalanxTW                ;0.564935064935065;
MixedShapesRegularTrain        ;0.914639175257732;
MixedShapesSmallTrain          ;0.8725773195876289;
MoteStrain                     ;0.8761980830670927;
NonInvasiveFetalECGThorax1     ;0.8895674300254452;
NonInvasiveFetalECGThorax2     ;0.9170483460559796;
OSULeaf                        ;0.6157024793388429;
OliveOil                       ;0.9;
PhalangesOutlinesCorrect       ;0.8216783216783217;
Phoneme                        ;0.21729957805907174;
PigAirwayPressure              ;0.1346153846153846;
PigArtPressure                 ;0.16346153846153846;
PigCVP                         ;0.23076923076923078;
Plane                          ;1.0;
PowerCons                      ;0.9833333333333333;
ProximalPhalanxOutlineAgeGroup ;0.8536585365853658;
ProximalPhalanxOutlineCorrect  ;0.8762886597938144;
ProximalPhalanxTW              ;0.8;
RefrigerationDevices           ;0.584;
Rock                           ;0.72;
ScreenType                     ;0.47733333333333333;
SemgHandGenderCh2              ;0.81;
SemgHandMovementCh2            ;0.5577777777777778;
SemgHandSubjectCh2             ;0.7288888888888889;
ShapeletSim                    ;0.5777777777777777;
ShapesAll                      ;0.785;
SmallKitchenAppliances         ;0.6613333333333333;
SmoothSubspace                 ;0.9533333333333334;
SonyAIBORobotSurface1          ;0.8386023294509152;
SonyAIBORobotSurface2          ;0.8583420776495279;
StarLightCurves                ;0.9658814958717824;
Strawberry                     ;0.9621621621621622;
SwedishLeaf                    ;0.9136;
Symbols                        ;0.8482412060301507;
SyntheticControl               ;0.9866666666666667;
ToeSegmentation1               ;0.7017543859649122;
ToeSegmentation2               ;0.7461538461538462;
Trace                          ;0.91;
TwoLeadECG                     ;0.7752414398595259;
TwoPatterns                    ;0.925;
UMD                            ;0.8958333333333334;
UWaveGestureLibraryAll         ;0.9438860971524288;
UWaveGestureLibraryX           ;0.7763819095477387;
UWaveGestureLibraryY           ;0.7079843662758235;
UWaveGestureLibraryZ           ;0.7275265214963708;
Wafer                          ;0.994970798182998;
Wine                           ;0.6851851851851852;
WordSynonyms                   ;0.6379310344827587;
Worms                          ;0.7272727272727273;
WormsTwoClass                  ;0.8051948051948052;
Yoga                           ;0.8296666666666667;
