Dataset Name                   ,Accuracy
ACSF1                          ,0.75
Adiac                          ,0.6930946291560103
ArrowHead                      ,0.7142857142857143
BME                            ,0.9933333333333333
Beef                           ,0.8
BeetleFly                      ,0.85
BirdChicken                    ,0.7
CBF                            ,0.9677777777777777
Car                            ,0.6833333333333333
Chinatown                      ,0.9825072886297376
ChlorineConcentration          ,0.7328125
CinCECGTorso                   ,0.8528985507246377
Coffee                         ,1.0
Computers                      ,0.652
CricketX                       ,0.6230769230769231
CricketY                       ,0.6205128205128205
CricketZ                       ,0.658974358974359
Crop                           ,0.7455357142857143
DiatomSizeReduction            ,0.9150326797385621
DistalPhalanxOutlineAgeGroup   ,0.7553956834532374
DistalPhalanxOutlineCorrect    ,0.7789855072463768
DistalPhalanxTW                ,0.6834532374100719
ECG200                         ,0.88
ECG5000                        ,0.9384444444444444
ECGFiveDays                    ,0.9651567944250871
EOGHorizontalSignal            ,0.46408839779005523
EOGVerticalSignal              ,0.43370165745856354
Earthquakes                    ,0.7482014388489209
ElectricDevices                ,0.6752690960964856
EthanolLevel                   ,0.452
FaceAll                        ,0.8704142011834319
FaceFour                       ,0.875
FacesUCR                       ,0.8019512195121952
FiftyWords                     ,0.7208791208791209
Fish                           ,0.7485714285714286
FordA                          ,0.8863636363636364
FordB                          ,0.7024691358024692
FreezerRegularTrain            ,0.9329824561403509
FreezerSmallTrain              ,0.7431578947368421
GunPoint                       ,0.9733333333333334
GunPointAgeSpan                ,0.930379746835443
GunPointMaleVersusFemale       ,0.9841772151898734
GunPointOldVersusYoung         ,0.9777777777777777
Ham                            ,0.7428571428571429
HandOutlines                   ,0.9027027027027027
Haptics                        ,0.4935064935064935
Herring                        ,0.65625
HouseTwenty                    ,0.8907563025210085
InlineSkate                    ,0.3709090909090909
InsectEPGRegularTrain          ,1.0
InsectEPGSmallTrain            ,1.0
InsectWingbeatSound            ,0.6540404040404041
ItalyPowerDemand               ,0.9659863945578231
LargeKitchenAppliances         ,0.6613333333333333
Lightning2                     ,0.819672131147541
Lightning7                     ,0.6986301369863014
Mallat                         ,0.9624733475479744
Meat                           ,0.9333333333333333
MedicalImages                  ,0.7486842105263158
MiddlePhalanxOutlineAgeGroup   ,0.5909090909090909
MiddlePhalanxOutlineCorrect    ,0.8109965635738832
MiddlePhalanxTW                ,0.551948051948052
MixedShapesRegularTrain        ,0.9105154639175258
MixedShapesSmallTrain          ,0.8688659793814433
MoteStrain                     ,0.8746006389776357
NonInvasiveFetalECGThorax1     ,0.8824427480916031
NonInvasiveFetalECGThorax2     ,0.9134860050890585
OSULeaf                        ,0.6528925619834711
OliveOil                       ,0.9333333333333333
PhalangesOutlinesCorrect       ,0.8344988344988346
Phoneme                        ,0.21466244725738395
PigAirwayPressure              ,0.1201923076923077
PigArtPressure                 ,0.19230769230769232
PigCVP                         ,0.1875
Plane                          ,1.0
PowerCons                      ,0.9833333333333333
ProximalPhalanxOutlineAgeGroup ,0.8536585365853658
ProximalPhalanxOutlineCorrect  ,0.8762886597938144
ProximalPhalanxTW              ,0.7902439024390244
RefrigerationDevices           ,0.5786666666666667
Rock                           ,0.72
ScreenType                     ,0.45066666666666666
SemgHandGenderCh2              ,0.7866666666666666
SemgHandMovementCh2            ,0.5266666666666666
SemgHandSubjectCh2             ,0.7111111111111111
ShapeletSim                    ,0.5833333333333334
ShapesAll                      ,0.7933333333333333
SmallKitchenAppliances         ,0.64
SmoothSubspace                 ,0.94
SonyAIBORobotSurface1          ,0.8668885191347754
SonyAIBORobotSurface2          ,0.8268625393494229
StarLightCurves                ,0.9629674599320058
Strawberry                     ,0.9513513513513514
SwedishLeaf                    ,0.9056
Symbols                        ,0.878391959798995
SyntheticControl               ,0.9866666666666667
ToeSegmentation1               ,0.6491228070175439
ToeSegmentation2               ,0.7153846153846154
Trace                          ,0.9
TwoLeadECG                     ,0.7594381035996488
TwoPatterns                    ,0.9035
UMD                            ,0.8888888888888888
UWaveGestureLibraryAll         ,0.940536013400335
UWaveGestureLibraryX           ,0.7654941373534339
UWaveGestureLibraryY           ,0.7021217197096594
UWaveGestureLibraryZ           ,0.7158012283640425
Wafer                          ,0.9944841012329656
Wine                           ,0.6296296296296297
WordSynonyms                   ,0.6410658307210031
Worms                          ,0.7272727272727273
WormsTwoClass                  ,0.7922077922077922
Yoga                           ,0.8133333333333334
