Dataset Name                   ,Accuracy
ACSF1                          ,0.78
Adiac                          ,0.7033248081841432
ArrowHead                      ,0.7428571428571429
BME                            ,0.98
Beef                           ,0.7666666666666667
BeetleFly                      ,0.85
BirdChicken                    ,0.7
CBF                            ,0.9844444444444445
Car                            ,0.7333333333333333
Chinatown                      ,0.9795918367346939
ChlorineConcentration          ,0.7473958333333334
CinCECGTorso                   ,0.8543478260869565
Coffee                         ,1.0
Computers                      ,0.628
CricketX                       ,0.6435897435897436
CricketY                       ,0.617948717948718
CricketZ                       ,0.676923076923077
Crop                           ,0.7517261904761905
DiatomSizeReduction            ,0.9444444444444444
DistalPhalanxOutlineAgeGroup   ,0.762589928057554
DistalPhalanxOutlineCorrect    ,0.782608695652174
DistalPhalanxTW                ,0.6834532374100719
ECG200                         ,0.85
ECG5000                        ,0.9406666666666667
ECGFiveDays                    ,0.9814169570267132
EOGHorizontalSignal            ,0.4585635359116022
EOGVerticalSignal              ,0.4530386740331492
Earthquakes                    ,0.7482014388489209
ElectricDevices                ,0.6795486966670989
EthanolLevel                   ,0.486
FaceAll                        ,0.8751479289940829
FaceFour                       ,0.9318181818181818
FacesUCR                       ,0.8087804878048781
FiftyWords                     ,0.7032967032967034
Fish                           ,0.7885714285714286
FordA                          ,0.8818181818181818
FordB                          ,0.7246913580246913
FreezerRegularTrain            ,0.9515789473684211
FreezerSmallTrain              ,0.7480701754385964
GunPoint                       ,0.9866666666666667
GunPointAgeSpan                ,0.9462025316455697
GunPointMaleVersusFemale       ,0.9936708860759493
GunPointOldVersusYoung         ,0.9619047619047619
Ham                            ,0.7238095238095238
HandOutlines                   ,0.9108108108108108
Haptics                        ,0.4642857142857143
Herring                        ,0.625
HouseTwenty                    ,0.907563025210084
InlineSkate                    ,0.4018181818181818
InsectEPGRegularTrain          ,1.0
InsectEPGSmallTrain            ,1.0
InsectWingbeatSound            ,0.648989898989899
ItalyPowerDemand               ,0.9582118561710399
LargeKitchenAppliances         ,0.656
Lightning2                     ,0.7540983606557377
Lightning7                     ,0.6438356164383562
Mallat                         ,0.9611940298507463
Meat                           ,0.9333333333333333
MedicalImages                  ,0.7473684210526316
MiddlePhalanxOutlineAgeGroup   ,0.577922077922078
MiddlePhalanxOutlineCorrect    ,0.8213058419243986
MiddlePhalanxTW                ,0.551948051948052
MixedShapesRegularTrain        ,0.9191752577319587
MixedShapesSmallTrain          ,0.8775257731958763
MoteStrain                     ,0.8777955271565495
NonInvasiveFetalECGThorax1     ,0.8875318066157761
NonInvasiveFetalECGThorax2     ,0.9145038167938931
OSULeaf                        ,0.628099173553719
OliveOil                       ,0.9
PhalangesOutlinesCorrect       ,0.8228438228438228
Phoneme                        ,0.21255274261603377
PigAirwayPressure              ,0.12980769230769232
PigArtPressure                 ,0.1875
PigCVP                         ,0.23557692307692307
Plane                          ,1.0
PowerCons                      ,0.9833333333333333
ProximalPhalanxOutlineAgeGroup ,0.848780487804878
ProximalPhalanxOutlineCorrect  ,0.8694158075601375
ProximalPhalanxTW              ,0.8
RefrigerationDevices           ,0.5813333333333334
Rock                           ,0.78
ScreenType                     ,0.4533333333333333
SemgHandGenderCh2              ,0.8433333333333334
SemgHandMovementCh2            ,0.5555555555555556
SemgHandSubjectCh2             ,0.7244444444444444
ShapeletSim                    ,0.7111111111111111
ShapesAll                      ,0.795
SmallKitchenAppliances         ,0.6453333333333333
SmoothSubspace                 ,0.9533333333333334
SonyAIBORobotSurface1          ,0.8718801996672213
SonyAIBORobotSurface2          ,0.8856243441762854
StarLightCurves                ,0.9653958232151529
Strawberry                     ,0.9621621621621622
SwedishLeaf                    ,0.9104
Symbols                        ,0.84321608040201
SyntheticControl               ,0.9833333333333333
ToeSegmentation1               ,0.7105263157894737
ToeSegmentation2               ,0.7307692307692307
Trace                          ,0.95
TwoLeadECG                     ,0.7831431079894644
TwoPatterns                    ,0.9215
UMD                            ,0.9236111111111112
UWaveGestureLibraryAll         ,0.9427694025683976
UWaveGestureLibraryX           ,0.7721943048576214
UWaveGestureLibraryY           ,0.7071468453378001
UWaveGestureLibraryZ           ,0.7213847012841987
Wafer                          ,0.995619727449708
Wine                           ,0.5555555555555556
WordSynonyms                   ,0.6285266457680251
Worms                          ,0.7272727272727273
WormsTwoClass                  ,0.7792207792207793
Yoga                           ,0.825
