Dataset Name,Accuracy
Adiac,0.020460358056265986
Beef,0.5333333333333333
Car,0.5666666666666667
CBF,0.8666666666666667
Coffee,1.0
DiatomSizeReduction,0.9869281045751634
ECG200,0.91
ECGFiveDays,0.8734030197444832
FaceFour,0.5113636363636364
GunPoint,0.9466666666666667
Lightning2,0.7704918032786885
Lightning7,0.6712328767123288
MedicalImages,0.6355263157894737
MoteStrain,0.860223642172524
OliveOil,0.5666666666666667
SonyAIBORobotSurface1,0.7138103161397671
SonyAIBORobotSurface2,0.8342077649527807
SyntheticControl,0.95
Trace,0.93
TwoPatterns,0.58825
