Dataset Name          ,Accuracy
Adiac                 ,0.7186700767263428
Beef                  ,0.6333333333333333
Car                   ,0.6166666666666667
CBF                   ,0.8644444444444445
Coffee                ,1.0
DiatomSizeReduction   ,0.934640522875817
ECG200                ,0.83
ECGFiveDays           ,0.9535423925667829
FaceFour              ,0.6136363636363636
GunPoint              ,0.96
Lightning2            ,0.6065573770491803
Lightning7            ,0.589041095890411
MedicalImages         ,0.6368421052631579
MoteStrain            ,0.7412140575079872
OliveOil              ,0.8
SonyAIBORobotSurface1 ,0.7088186356073212
SonyAIBORobotSurface2 ,0.7660020986358866
SyntheticControl      ,0.9433333333333334
Trace                 ,0.88
TwoPatterns           ,0.8955
