Dataset Name          ,Accuracy
Adiac                 ,0.7416879795396419
Beef                  ,0.7
Car                   ,0.7666666666666667
CBF                   ,0.8633333333333333
Coffee                ,1.0
DiatomSizeReduction   ,0.9313725490196079
ECG200                ,0.88
ECGFiveDays           ,0.9721254355400697
FaceFour              ,0.7727272727272727
GunPoint              ,0.98
Lightning2            ,0.7704918032786885
Lightning7            ,0.6438356164383562
MedicalImages         ,0.6881578947368421
MoteStrain            ,0.7292332268370607
OliveOil              ,0.8
SonyAIBORobotSurface1 ,0.7088186356073212
SonyAIBORobotSurface2 ,0.8478488982161595
SyntheticControl      ,0.92
Trace                 ,0.84
