Dataset Name,Accuracy
Adiac,0.7902813299232737
Beef,0.8333333333333334
Car,0.6833333333333333
CBF,0.8744444444444445
Coffee,1.0
DiatomSizeReduction,0.9248366013071896
ECG200,0.91
ECGFiveDays,0.9941927990708479
FaceFour,0.5340909090909091
GunPoint,0.98
Lightning2,0.8360655737704918
Lightning7,0.273972602739726
MedicalImages,0.6776315789473685
MoteStrain,0.75
OliveOil,0.6333333333333333
SonyAIBORobotSurface1,0.8435940099833611
SonyAIBORobotSurface2,0.8950682056663168
SyntheticControl,0.9466666666666667
Trace,0.87
TwoPatterns,0.83325
