Dataset Name          ,Accuracy
Adiac                 ,0.7442455242966752
Beef                  ,0.7
Car                   ,0.7666666666666667
CBF                   ,0.8644444444444445
Coffee                ,1.0
DiatomSizeReduction   ,0.9313725490196079
ECG200                ,0.87
ECGFiveDays           ,0.9721254355400697
FaceFour              ,0.7840909090909091
GunPoint              ,0.98
Lightning2            ,0.7704918032786885
Lightning7            ,0.6438356164383562
MedicalImages         ,0.6855263157894737
MoteStrain            ,0.7308306709265175
OliveOil              ,0.8
SonyAIBORobotSurface1 ,0.7088186356073212
SonyAIBORobotSurface2 ,0.8499475341028332
SyntheticControl      ,0.92
Trace                 ,0.84
TwoPatterns           ,0.6585
